setting_id,model,n_estimators,max_features,min_samples_leaf,class_weight,feature_count,train_rows,test_rows,overall_agreement,balanced_accuracy,macro_f1,weighted_f1,reference_note,analysis_note
rf_06,S2-only,300,sqrt,5,balanced_subsample,56,4019,1723,0.706326175275682,0.7058907460152601,0.7056798855627543,0.705910370404898,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_06,S1+S2,300,sqrt,5,balanced_subsample,72,4019,1723,0.7829367382472432,0.7829910187650458,0.7838459763957579,0.7838494773495427,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_07,S2-only,300,log2,1,balanced,56,4019,1723,0.709808473592571,0.7093858061721383,0.7104401562461491,0.7106590789212598,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_07,S1+S2,300,log2,1,balanced,72,4019,1723,0.783517121300058,0.7836246446567408,0.7846547535072312,0.7845030509289938,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_08,S2-only,300,log2,1,balanced_subsample,56,4019,1723,0.7132907719094602,0.7128996829680343,0.7138243271794739,0.7140102008695208,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_08,S1+S2,300,log2,1,balanced_subsample,72,4019,1723,0.7852582704585026,0.7852163232040319,0.7856319560992072,0.7855491531685074,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_09,S2-only,300,log2,3,balanced,56,4019,1723,0.7005223447475334,0.6999294654287667,0.6999200371368823,0.7002842966888229,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_09,S1+S2,300,log2,3,balanced,72,4019,1723,0.7823563551944284,0.7824607470000009,0.7831383675032211,0.7830915799578766,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_10,S2-only,300,log2,3,balanced_subsample,56,4019,1723,0.701683110853163,0.7011581938276181,0.701042475629786,0.7013288109395999,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_10,S1+S2,300,log2,3,balanced_subsample,72,4019,1723,0.7887405687753918,0.7889178716806174,0.7896572141623031,0.7895536953657278,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_11,S2-only,300,log2,5,balanced,56,4019,1723,0.7028438769587928,0.702353785947832,0.7026418722777429,0.7028494131405613,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_11,S1+S2,300,log2,5,balanced,72,4019,1723,0.7846778874056878,0.7847618131939307,0.7855782944093873,0.7855892580636739,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_12,S2-only,300,log2,5,balanced_subsample,56,4019,1723,0.6970400464306442,0.6965419576247143,0.6966254936297923,0.6968788318238238,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_12,S1+S2,300,log2,5,balanced_subsample,72,4019,1723,0.7840975043528728,0.7841905634876585,0.7847770474163589,0.7846923712798735,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_13,S2-only,500,sqrt,1,balanced,56,4019,1723,0.7132907719094602,0.712771062723772,0.7136086622133206,0.7139127021358398,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_13,S1+S2,500,sqrt,1,balanced,72,4019,1723,0.7887405687753918,0.7888093471323551,0.7893431113576138,0.789233430821696,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_14,S2-only,500,sqrt,1,balanced_subsample,56,4019,1723,0.7167730702263494,0.7163263620260113,0.7171560563942653,0.7174154888835461,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_14,S1+S2,500,sqrt,1,balanced_subsample,72,4019,1723,0.7910621009866512,0.7911457645981781,0.7916214835192474,0.7915479377680644,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_15,S2-only,500,sqrt,3,balanced,56,4019,1723,0.7074869413813116,0.7069062731609854,0.7069714285966042,0.7072604067208368,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_15,S1+S2,500,sqrt,3,balanced,72,4019,1723,0.7852582704585026,0.7854185049793755,0.7860336930790516,0.7859594628650378,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_16,S2-only,500,sqrt,3,balanced_subsample,56,4019,1723,0.7051654091700522,0.7046569688599734,0.7049049974064177,0.7051531172141401,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_16,S1+S2,500,sqrt,3,balanced_subsample,72,4019,1723,0.7864190365641324,0.7865194414794872,0.7868123817470728,0.7867507150025485,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_17,S2-only,500,sqrt,5,balanced,56,4019,1723,0.7005223447475334,0.699912674323299,0.6997950060524469,0.7001089116327668,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_17,S1+S2,500,sqrt,5,balanced,72,4019,1723,0.783517121300058,0.7836587273136031,0.7841848342715603,0.7840941661342677,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_18,S2-only,500,sqrt,5,balanced_subsample,56,4019,1723,0.7011027278003482,0.7005686940623463,0.7006698818764917,0.7009433272404516,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_18,S1+S2,500,sqrt,5,balanced_subsample,72,4019,1723,0.783517121300058,0.7836764656578197,0.7844256825306537,0.7843651953505846,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_19,S2-only,500,log2,1,balanced,56,4019,1723,0.7074869413813116,0.7070987362082602,0.7084331230225356,0.7086271007881884,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_19,S1+S2,500,log2,1,balanced,72,4019,1723,0.7864190365641324,0.7864701338081164,0.7871299925277608,0.7870333357638984,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_20,S2-only,500,log2,1,balanced_subsample,56,4019,1723,0.7127103888566454,0.7122705356713509,0.7131100046916548,0.7133318792906524,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_20,S1+S2,500,log2,1,balanced_subsample,72,4019,1723,0.7852582704585026,0.7852999090113444,0.7854179013681271,0.7853207406157976,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_21,S2-only,500,log2,3,balanced,56,4019,1723,0.7005223447475334,0.7000129221194303,0.699911710127519,0.7002182221804383,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_21,S1+S2,500,log2,3,balanced,72,4019,1723,0.788160185722577,0.788283779371471,0.7888043247672623,0.7887236546963369,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_22,S2-only,500,log2,3,balanced_subsample,56,4019,1723,0.7045850261172374,0.7041570199624531,0.7041184037926582,0.7043631170938393,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_22,S1+S2,500,log2,3,balanced_subsample,72,4019,1723,0.787579802669762,0.7877284651215042,0.7885991000414345,0.7885269621922465,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_23,S2-only,500,log2,5,balanced,56,4019,1723,0.7028438769587928,0.7023877578564675,0.7025623876693115,0.7026947630049385,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_23,S1+S2,500,log2,5,balanced,72,4019,1723,0.788160185722577,0.7881954637683493,0.7887127356835353,0.7887007560288306,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_24,S2-only,500,log2,5,balanced_subsample,56,4019,1723,0.6993615786419036,0.6988603488491378,0.6989295776559536,0.6992209054954618,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_24,S1+S2,500,log2,5,balanced_subsample,72,4019,1723,0.7829367382472432,0.7830841584508088,0.7838060830429681,0.7837123020934225,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_25,S2-only,800,sqrt,1,balanced,56,4019,1723,0.7109692396982008,0.7104734952653593,0.7111597031058512,0.7114683359203756,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_25,S1+S2,800,sqrt,1,balanced,72,4019,1723,0.791642484039466,0.7917572888238888,0.7922854766147565,0.7921472418690791,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_26,S2-only,800,sqrt,1,balanced_subsample,56,4019,1723,0.7138711549622752,0.713458944112811,0.7141946960266738,0.7144193585537639,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_26,S1+S2,800,sqrt,1,balanced_subsample,72,4019,1723,0.7887405687753918,0.7888262576429179,0.7893647937485384,0.7892961344770364,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_27,S2-only,800,sqrt,3,balanced,56,4019,1723,0.7074869413813116,0.70690145102476,0.7072257943604994,0.7075376210439354,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_27,S1+S2,800,sqrt,3,balanced,72,4019,1723,0.7840975043528728,0.7842688061747729,0.7848306046558642,0.7847135562371969,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_28,S2-only,800,sqrt,3,balanced_subsample,56,4019,1723,0.709808473592571,0.7093544153582401,0.7094109967782292,0.7096561555852589,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_28,S1+S2,800,sqrt,3,balanced_subsample,72,4019,1723,0.7893209518282066,0.7894157944084311,0.7897787263582449,0.7897688310267292,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_29,S2-only,800,sqrt,5,balanced,56,4019,1723,0.7005223447475334,0.6999512265704504,0.7000664649569788,0.7003410389720933,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_29,S1+S2,800,sqrt,5,balanced,72,4019,1723,0.783517121300058,0.7836566849421164,0.7843123301700964,0.7842589949326435,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_30,S2-only,800,sqrt,5,balanced_subsample,56,4019,1723,0.7051654091700522,0.7046064254618251,0.7042729242537956,0.7045815553871013,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_30,S1+S2,800,sqrt,5,balanced_subsample,72,4019,1723,0.7829367382472432,0.7830439155886999,0.7839673266171848,0.7839224618947545,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_31,S2-only,800,log2,1,balanced,56,4019,1723,0.7121300058038306,0.7116847585558768,0.7125181196027728,0.7127104762098657,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_31,S1+S2,800,log2,1,balanced,72,4019,1723,0.7904817179338364,0.7905574246008151,0.7911005006712738,0.7910160932680761,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_32,S2-only,800,log2,1,balanced_subsample,56,4019,1723,0.7161926871735346,0.7157090485164248,0.7165277554426872,0.7167416086063354,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_32,S1+S2,800,log2,1,balanced_subsample,72,4019,1723,0.787579802669762,0.7876237072017298,0.7878720982073745,0.7877939191838289,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_33,S2-only,800,log2,3,balanced,56,4019,1723,0.705745792222867,0.7053652720135863,0.7053482100863813,0.7055594575295268,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_33,S1+S2,800,log2,3,balanced,72,4019,1723,0.7869994196169472,0.7870959074493906,0.7876170606452318,0.7875143706861223,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_34,S2-only,800,log2,3,balanced_subsample,56,4019,1723,0.7051654091700522,0.7046943511440388,0.7047462424675205,0.7049489023466232,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_34,S1+S2,800,log2,3,balanced_subsample,72,4019,1723,0.788160185722577,0.7882494927065476,0.788892129280088,0.7888197683012157,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_35,S2-only,800,log2,5,balanced,56,4019,1723,0.702263493905978,0.7018876543713284,0.7020393321533279,0.7021512830857218,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_35,S1+S2,800,log2,5,balanced,72,4019,1723,0.7858386535113174,0.7859378125522141,0.7865790564097231,0.7865167400736017,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_36,S2-only,800,log2,5,balanced_subsample,56,4019,1723,0.7011027278003482,0.7006112004493942,0.7007474317364043,0.7009822220549965,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
rf_36,S1+S2,800,log2,5,balanced_subsample,72,4019,1723,0.7864190365641324,0.7865360618327849,0.78739875095284,0.7873308124015584,CROME treated as a reference crop-map product rather than direct ground truth,"Limited Random Forest sensitivity check; robustness check, not hyperparameter optimisation."
